Day,PJME_MW
2018-07-01,974036.0
2018-07-02,1085235.0
2018-07-03,1086193.0
2018-07-04,951667.0
2018-07-05,1017657.0
2018-07-06,939486.0
2018-07-07,694236.0
2018-07-08,686803.0
2018-07-09,825844.0
2018-07-10,932787.0
2018-07-11,952790.0
2018-07-12,882491.0
2018-07-13,865132.0
2018-07-14,838624.0
2018-07-15,820898.0
2018-07-16,1005530.0
2018-07-17,985941.0
2018-07-18,873659.0
2018-07-19,830989.0
2018-07-20,837305.0
2018-07-21,703914.0
2018-07-22,745494.0
2018-07-23,901353.0
2018-07-24,921189.0
2018-07-25,889492.0
2018-07-26,917308.0
2018-07-27,916596.0
2018-07-28,827898.0
2018-07-29,771910.0
2018-07-30,790978.0
2018-07-31,828938.0
